listing_id,aspect,NSS_score
723070,location,1.0
729015,amenities,1.0
729015,check_in,1.0
729015,cleanliness,1.0
729015,communication,1.0
729015,location,0.8095238095238095
729015,value,0.8181818181818182
742693,cleanliness,1.0
742693,location,1.0
758483,amenities,1.0
758483,check_in,1.0
758483,cleanliness,0.8
758483,communication,1.0
758483,location,0.9487179487179488
758483,value,1.0
768019,amenities,1.0
768019,communication,1.0
768019,location,1.0
788043,amenities,1.0
788043,check_in,1.0
788043,cleanliness,1.0
788043,communication,1.0
788043,location,0.85
788043,value,1.0
811670,amenities,1.0
811670,check_in,1.0
811670,cleanliness,1.0
811670,communication,0.8
811670,location,0.75
811670,value,0.5
818612,amenities,1.0
818612,cleanliness,1.0
818612,communication,0.7142857142857143
818612,location,0.4285714285714285
818612,value,0.6
820395,amenities,1.0
820395,cleanliness,1.0
820395,communication,1.0
820395,location,0.7777777777777778
820395,value,1.0
822214,amenities,1.0
822214,check_in,1.0
822214,cleanliness,1.0
822214,communication,1.0
822214,location,1.0
822214,value,1.0
851956,amenities,1.0
851956,check_in,1.0
851956,cleanliness,1.0
851956,communication,0.8461538461538461
851956,location,0.9285714285714286
851956,value,1.0
852063,amenities,1.0
852063,check_in,1.0
852063,cleanliness,1.0
852063,communication,0.8
852063,location,1.0
852063,value,1.0
858311,amenities,0.8518518518518519
858311,check_in,0.5
858311,cleanliness,0.9166666666666666
858311,communication,0.8352941176470589
858311,location,0.8513513513513513
858311,value,0.8064516129032258
858338,amenities,0.5789473684210527
858338,check_in,0.5
858338,cleanliness,0.88
858338,communication,0.902439024390244
858338,location,0.921875
858338,value,0.8095238095238095
861105,amenities,1.0
861105,check_in,1.0
861105,cleanliness,1.0
861105,communication,1.0
861105,location,1.0
861105,value,1.0
866329,amenities,1.0
866329,check_in,1.0
866329,cleanliness,1.0
866329,communication,1.0
866329,location,0.7333333333333333
866329,value,0.6666666666666666
885848,amenities,0.5
885848,check_in,-1.0
885848,cleanliness,0.7333333333333333
885848,communication,1.0
885848,location,0.8666666666666667
888304,amenities,1.0
888304,check_in,1.0
888304,cleanliness,1.0
888304,communication,1.0
888304,location,1.0
889909,cleanliness,1.0
889909,communication,1.0
889909,location,1.0
915293,cleanliness,1.0
915293,communication,1.0
915293,location,1.0
952677,check_in,1.0
952677,cleanliness,1.0
952677,communication,-1.0
952677,location,1.0
973830,amenities,0.5
973830,check_in,1.0
973830,cleanliness,1.0
973830,communication,0.9285714285714286
973830,location,1.0
973830,value,1.0
976690,amenities,1.0
976690,check_in,1.0
976690,cleanliness,0.8888888888888888
976690,communication,1.0
976690,location,0.868421052631579
976690,value,1.0
978969,communication,1.0
978969,location,1.0
988373,amenities,0.5
988373,check_in,0.5
988373,cleanliness,1.0
988373,communication,0.9607843137254902
988373,location,0.875
988373,value,0.8333333333333334
1019241,amenities,0.7142857142857143
1019241,check_in,1.0
1019241,cleanliness,0.9285714285714286
1019241,communication,0.8918918918918919
1019241,location,0.8571428571428571
1019241,value,0.8
1026451,amenities,0.8846153846153846
1026451,check_in,0.7
1026451,cleanliness,0.9887640449438202
1026451,communication,0.9414634146341464
1026451,location,0.9448275862068966
1026451,value,0.8490566037735849
1028486,cleanliness,1.0
1028486,location,1.0
1028486,value,1.0
1035589,amenities,1.0
1035589,cleanliness,1.0
1035589,communication,1.0
1035589,location,1.0
1035589,value,1.0
1041976,amenities,0.8947368421052632
1041976,check_in,1.0
1041976,cleanliness,0.943661971830986
1041976,communication,0.9058823529411764
1041976,location,0.8125
1041976,value,1.0
1052180,amenities,1.0
1052180,check_in,1.0
1052180,cleanliness,0.7333333333333333
1052180,communication,1.0
1052180,location,0.6363636363636364
1052180,value,1.0
1057173,amenities,0.8888888888888888
1057173,check_in,0.8461538461538461
1057173,cleanliness,1.0
1057173,communication,0.9555555555555556
1057173,location,0.9439252336448598
1057173,value,0.8461538461538461
1060320,amenities,1.0
1060320,cleanliness,1.0
1060320,communication,1.0
1060320,location,1.0
1067748,amenities,1.0
1067748,cleanliness,0.7894736842105263
1067748,communication,0.6666666666666666
1067748,location,0.7894736842105263
1067748,value,1.0
1094136,amenities,1.0
1094136,check_in,1.0
1094136,cleanliness,1.0
1094136,communication,1.0
1094136,location,1.0
1094136,value,1.0
1141969,check_in,1.0
1141969,cleanliness,0.3333333333333333
1141969,communication,1.0
1141969,location,0.5555555555555556
1160838,amenities,0.2903225806451613
1160838,check_in,1.0
1160838,cleanliness,0.9879518072289156
1160838,communication,0.9565217391304348
1160838,location,0.8909090909090909
1160838,value,0.9411764705882352
1178280,amenities,0.4
1178280,cleanliness,0.2857142857142857
1178280,communication,0.4545454545454545
1178280,location,0.6470588235294118
1178280,value,0.3333333333333333
1187726,amenities,1.0
1187726,cleanliness,1.0
1187726,communication,1.0
1187726,location,1.0
1187726,value,1.0
1218098,amenities,1.0
1218098,check_in,-1.0
1218098,cleanliness,1.0
1218098,communication,1.0
1218098,location,0.6
1218098,value,1.0
1218415,amenities,1.0
1218415,communication,1.0
1218415,value,1.0
1227663,amenities,0.8
1227663,check_in,1.0
1227663,cleanliness,1.0
1227663,communication,1.0
1227663,location,0.9387755102040816
1227663,value,1.0
1244333,amenities,1.0
1244333,cleanliness,1.0
1244333,communication,1.0
1244333,location,1.0
1244333,value,1.0
1296322,amenities,0.8181818181818182
